Serial No.,Brandname,Country,PRODUCT URL,Type,IMAGE URL,TITLE OF PRODUCT,PRICE Local,Local,Discount,Price USD,Description
22,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-vegas-black-rinse-skinny-fit-jeans-8905409287156-black-rinse.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn003238_1.jpg,Wrangler Men Vegas Black Rinse Skinny Fit Jeans,3799,INR,,,"These comfortable black-colored jeans are crafted with an intentionally distressed look for a classic look. These are cut for a casual fit, finished with a ribbed hem and cuffed hems. Wear them with a simple tee or buttoned shirt and jeans for an effortlessly polished look."
23,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-blue-slim-fit-jeans-8905409009406-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/3/w31835w2283g_1.jpg,Wrangler Skanders Blue Slim Fit Jeans,2999,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of blue jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their regular fit design affords them a classic, relaxed look."
24,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-bostin-cropped-blue-slim-fit-jeans-8905409176214-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn002155_1.jpg,Wrangler Bostin Cropped Blue Slim Fit Jeans,1399,INR,2100,,Vintage tint in classic straight cropped fit.Step out in authentic style with worn out aesthetic.
25,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-vegas-grey-skinny-jeans-8905409008683-grey.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/2/w28986w22944_1.jpg,Wrangler Vegas Grey Skinny Jeans,2799,INR,,,"Wrangler brings you a soft yet tough companion with this awesome pair of grey jeans. Artfully tailored in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their fit assigns them a modern, snug style."
26,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-indigo-galaxy-slim-fit-jeans-8905409175583-indigo-galaxy.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn002144_1.jpg,Wrangler Skanders Indigo Galaxy Slim Fit Jeans,1399,INR,2100,,"The iconic Wrangler brings you a soft yet tough companion with this awesome pair of indigo galaxy jeans from its latest collection.  Artfully tailored in premium strech denim for an unmatched combination of flexibility, comfort and endurance. Best paired with a crew neck t-shirt and sneakers."
27,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-bostin-cropped-indigo-galaxy-slim-fit-jeans-8905409175514-indigo-galaxy.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000966_1.jpg,Wrangler Bostin Cropped Indigo Galaxy Slim Fit Jeans,1399,INR,2100,,"The iconic Wrangler brings you a soft yet tough companion with this awesome pair of indigo galaxy jeans from its latest collection.  Artfully tailored in premium strech denim for an unmatched combination of flexibility, comfort and endurance. Best paired with a crew neck t-shirt and sneakers."
28,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-vegas-midnight-blue-skinny-fit-jeans-8905409175675-midnight-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn002145_1.jpg,Wrangler Vegas Midnight Blue Skinny Fit Jeans,1399,INR,2100,,"The iconic Wrangler brings you a soft yet tough companion with this awesome pair of midnight blue jeans from its latest collection.  Artfully tailored in premium strech denim for an unmatched combination of flexibility, comfort and endurance. Best paired with a crew neck t-shirt and sneakers."
29,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-millard-mystic-indigo-regular-fit-jeans-8905409179109-mystic-indigo.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn002143_1.jpg,Wrangler Millard Mystic Indigo Regular Fit Jeans,1599,INR,2400,,"The iconic Wrangler brings you a soft yet tough companion with this awesome pair of mystic indigo jeans from its latest collection.  Artfully tailored in premium strech denim for an unmatched combination of flexibility, comfort and endurance. Best paired with a crew neck t-shirt and sneakers."
30,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-black-tracker-slim-fit-jeans-8905409178621-black-tracker.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn002140_1.jpg,Wrangler Skanders Black Tracker Slim Fit Jeans,1719,INR,2580,,"The iconic Wrangler brings you a soft yet tough companion with this awesome pair of black tracker jeans from its latest collection.  Artfully tailored in premium strech denim for an unmatched combination of flexibility, comfort and endurance. Best paired with a crew neck t-shirt and sneakers."
31,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-vegas-grey-solid-skinny-fit-jeans-8905409175903-grey.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000983_1.jpg,Wrangler Vegas Grey Solid Skinny Fit Jeans,4299,INR,,,"Pamper yourself with this awesome pair of soft yet tough grey jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their skinny fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
32,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-vegas-blue-solid-skinny-fit-jeans-8905409180150-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000969_1.jpg,Wrangler Vegas Blue Solid Skinny Fit Jeans,3999,INR,,,"Pamper yourself with this awesome pair of soft yet tough blue jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their skinny fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
33,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-vegas-blue-solid-skinny-fit-jeans-8905409178072-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000947_1.jpg,Wrangler Vegas Blue Solid Skinny Fit Jeans,3699,INR,,,"Pamper yourself with this awesome pair of soft yet tough blue jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their skinny fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
34,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-blue-solid-slim-fit-jeans-8905409176542-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000944_1.jpg,Wrangler Skanders Blue Solid Slim Fit Jeans,1479,INR,2220,,"Pamper yourself with this awesome pair of soft yet tough blue jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their slim fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
35,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-bostin-light-blue-solid-slim-fit-jeans-8905409175354-light-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000943_1.jpg,Wrangler Bostin Light Blue Solid Slim Fit Jeans,3999,INR,,,"Pamper yourself with this awesome pair of soft yet tough light blue jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their slim fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
36,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-bostin-cropped-blue-solid-slim-fit-jeans-8905409178140-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000938_1.jpg,Wrangler Bostin Cropped Blue Solid Slim Fit Jeans,3699,INR,,,"Pamper yourself with this awesome pair of soft yet tough blue jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their slim fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
37,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-black-solid-slim-fit-jeans-8905409178713-black.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000930_1.jpg,Wrangler Skanders Black Solid Slim Fit Jeans,1079,INR,1620,,"Pamper yourself with this awesome pair of soft yet tough black jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their slim fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
38,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-bostin-cropped-blue-solid-slim-fit-jeans-8905409177662-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000922_1.jpg,Wrangler Bostin Cropped Blue Solid Slim Fit Jeans,1319,INR,1980,,"Pamper yourself with this awesome pair of soft yet tough blue jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their slim fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
39,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-bostin-cropped-black-solid-slim-fit-jeans-8905409178393-black.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000917_1.jpg,Wrangler Bostin Cropped Black Solid Slim Fit Jeans,1079,INR,1620,,"Pamper yourself with this awesome pair of soft yet tough black jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their slim fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
40,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-blue-solid-slim-fit-jeans-8905409180310-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000907_1.jpg,Wrangler Skanders Blue Solid Slim Fit Jeans,1319,INR,1980,,"Pamper yourself with this awesome pair of soft yet tough blue jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their slim fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
41,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-black-solid-slim-fit-jeans-8905409180389-black.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn000902_1.jpg,Wrangler Skanders Black Solid Slim Fit Jeans,4999,INR,,,"Pamper yourself with this awesome pair of soft yet tough black jeans from the latest collection of Wrangler. Masterfully crafted in premium strech denim for an unmatched combination of flexibility, comfort and endurance, their slim fit design assigns them a modern, snug style. Best paired with a crew neck t-shirt and sneakers."
42,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-brushed-indigo-jeans-regular-fit-men-8905409177891-brushed-indigo.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn002160_1.jpg,Wrangler Brushed Indigo Jeans Regular Fit Men,1319,INR,1980,,"Enjoy the rough and tumble of quality denim with this stunning pair of light wash jeans from the house of Wrangler. Masterfully tailored in premium stretch fabric for superb flexibility, comfort and endurance."
43,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-millard-mid-super-blue-regular-fit-jeans-8905409286197-mid-super-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn003305_1.jpg,Wrangler Men Millard Mid Super Blue Regular Fit Jeans,3599,INR,,,These cuffed shirts are a classic mid super blue hue with subtle fading; these cuffed shirts give the perfect opportunity to turn your laid-back look together. A thigh-high hem and mid-rise waist keep your daily essentials sorted.
